"Url","State","Bill ID","Name","Summary","AI Summary","Bill Type","Committee Category","Keywords","Last Action","Action Date","Sponsors","Sponsor List","Bill Progress","Actions","Versions","Tracked","Created","Last Amendment","Notes","Position"
"https://www.billtrack50.com/billdetail/1753567","AR","HB1035","To Create The Online Voter Registration Act Of 2025; To Allow Online Voter Registration; To Amend Arkansas Constitution, Amendment 51; And To Amend The Duties Of The Secretary Of State.","AN ACT TO CREATE THE ONLINE VOTER REGISTRATION ACT OF 2025; TO ALLOW ONLINE VOTER REGISTRATION; TO AMEND ARKANSAS CONSTITUTION, AMENDMENT 51; TO AMEND THE DUTIES OF THE SECRETARY OF STATE; AND FOR OTHER PURPOSES.","This bill establishes the Online Voter Registration Act of 2025, which amends Arkansas Constitution, Amendment 51 to create a comprehensive online voter registration system. The bill authorizes the Secretary of State to develop and maintain a secure online platform for voter registration that allows individuals to submit registration applications electronically. Key provisions include allowing electronic signatures, establishing security measures to protect voter information, and specifying that online registration applications must meet the same requirements as traditional mail-in forms. The online system will require applicants to provide identifying information such as a driver's license number or the last four digits of their Social Security number for verification. First-time voters registering online will need to meet the same identification requirements as those registering by mail, including providing documentation when voting for the first time. The Secretary of State is tasked with creating rules for the online system, ensuring uniform application across the state, and implementing security protocols to maintain the integrity of voter registration records. The online voter registration system will become effective on January 1, 2026, giving state officials time to develop and test the new electronic registration process.","Bill","Government Affairs","Envelope Marked “Provisional”, Require Identifying Information, Current Utility Bill, Disabilities Disabilities Agencies, Identification Documents Listed, Recruitment Recruitment Offices, Public Assistance Agency, Valid Photo Identification, Valid Photographic Identification, Large Print Forms","Died in House Committee at Sine Die adjournment.","05/05/2025","6","Andrew Collins (D)*, Denise Garner (D), Tara Shephard (D), Joy Springer (D), Diana Gonzales Worthen (D), Lincoln Barnett (D)","Dead","57","1","59","11/20/2024","11/20/2024","","Support"
"https://www.billtrack50.com/billdetail/1821669","AR","HB1422","To Create The Only Citizens Vote Act; To Amend The Law Concerning The Driver's Licenses And Identification Cards Of Certain Noncitizens; And To Amend Arkansas Constitution, Amendment 51, Section 13.","AN ACT TO CREATE THE ONLY CITIZENS VOTE ACT; TO MODIFY THE CONTENTS OF DRIVER'S LICENSES; TO AMEND THE CONTENTS OF A DRIVER'S LICENSE FOR CERTAIN NONCITIZENS; TO CREATE A TRAINING REQUIREMENT FOR ELECTION OFFICIALS REGARDING THE DRIVER'S LICENSES OF CERTAIN NONCITIZENS; TO CREATE A REPORTING REQUIREMENT FOR THE DRIVER'S LICENSES OF CERTAIN NONCITIZENS; TO AMEND ARKANSAS CONSTITUTION, AMENDMENT 51, SECTION 13; AND FOR OTHER PURPOSES.","This bill, known as the ""Only Citizens Vote Act,"" introduces several key provisions related to voting and driver's licenses for noncitizens in Arkansas. The legislation requires the Department of Finance and Administration to provide a monthly report to the Secretary of State listing individuals with nonimmigrant visas, who will then cross-reference these names with voter registration records. If a noncitizen is found to be registered to vote, their voter registration will be canceled, and their driver's license will be suspended. The bill mandates that driver's licenses for noncitizens will be distinctively different from standard licenses, featuring a vertical format, a ""Non-Citizen"" label, and a clear indication that the license is not valid for federal identification or voting purposes. The license will also expire concurrently with the holder's visa expiration. Additionally, the bill amends existing election laws to require election officials to be trained in recognizing and refusing driver's licenses that are not valid for voter identification. These changes aim to prevent noncitizens from voting and create a clear distinction between citizen and noncitizen driver's licenses, with the provisions set to take effect on February 1, 2025.","Bill","Government Affairs","Nonimmigrant Visa Status, Unexpired Nonimmigrant Visa, Federal Identification Purposes, Photo Identification Card, Certified Election Monitors, Voter Registration Canceled, Voter Registration Files, Voter Identification Purposes, Voter Identification Purposes”, Voter Verification Card","Died on House Calendar at Sine Die adjournment.","05/05/2025","2","Wayne Long (R)*, Mark Johnson (R)*","Dead","31","1","40","02/06/2025","02/06/2025","","Support"
"https://www.billtrack50.com/billdetail/1813181","AR","SB169","To Make Technical Corrections To The Arkansas Constitution; And To Amend Arkansas Constitution, Amendment 51.","AN ACT TO MAKE TECHNICAL CORRECTIONS TO THE ARKANSAS CONSTITUTION; TO AMEND ARKANSAS CONSTITUTION, AMENDMENT 51; AND FOR OTHER PURPOSES.","This bill makes several technical corrections to Arkansas Constitution, Amendment 51, focusing on voter registration and eligibility requirements. Specifically, the bill modifies Section 6(a)(2) to expand the voter registration application form requirements, adding new provisions that inform applicants about potential risks of third-party voter registration organizations not delivering applications in time, and providing guidance on determining if an application has been received by the Secretary of State. The bill also updates voter eligibility criteria in Section 9(a) to explicitly include U.S. citizenship as a requirement for voter registration. In Section 11(a), the bill adds a new provision to allow cancellation of voter registrations for individuals who are not U.S. citizens. The final section includes legislative intent language, emphasizing that these changes are technical in nature and are not meant to repeal or conflict with other legislative acts from the Ninety-Fifth General Assembly. These amendments aim to clarify and improve the state's voter registration process by addressing potential grammatical errors and adding more detailed informational requirements for voter registration forms.","Bill","Government Affairs, Justice","Adjudged Mentally Incompetent, Address Confirmation Mailings, Address Confirmation Notice, Make Technical Corrections, Voter Eligibility Requirements, Voter Registration Application, Voter Registrations, Identical Print, Punctuation Error, Verify Sb","Notification that SB169 is now Act 221","02/27/2025","4","Clarke Tucker (D)*, Jimmy Gazaway (R)*, Josh Bryant (R), Matthew Shepherd (R)","Signed/Enacted/Adopted","28","2","51","01/31/2025","02/27/2025","","Support"
"https://www.billtrack50.com/billdetail/1768881","AZ","HB2038","Voter registration; citizenship proof","An Act PROVIDING for citizenship verification to maintain voter registration.","This bill establishes a process for verifying the citizenship of registered voters in Arizona through the county recorder's office. If the motor vehicle division identifies a registered voter who has not provided satisfactory proof of U.S. citizenship, the county recorder must send a notice giving the voter 35 days to provide valid citizenship documentation. Failure to do so will result in the voter being moved to a ""not registered"" status and becoming ineligible to vote. Voters registered on or before January 24, 2005, are grandfathered and exempt from this requirement unless they re-register in a different county. Those using a federal voter registration form may be classified as ""federal only"" voters if they cannot provide citizenship proof. If a voter does not provide citizenship evidence after the next general election, their voter registration will be canceled. The bill includes an emergency clause making it immediately operative and is set to be automatically repealed on December 31, 2026. The primary goal of this legislation is to ensure that only U.S. citizens are registered to vote in Arizona elections.","Bill","Justice, Military Affairs and Security","Motor Vehicle Division, Certified Public Accountants, Provide Documentary Proof, Maintain Voter Registration, Public Peace, Valid Proof, Citizenship Proof, Delayed Repeal, Voter Registrants, Voter Registration","Senate read second time","03/31/2025","1","Alexander Kolodin (R)*","Crossed Over","21","2","45","01/08/2025","02/20/2025","","Support"
"https://www.billtrack50.com/billdetail/1770850","AZ","HB2060","State sovereign authority; elections","AN ACT amending title 16, chapter 4, article 1, Arizona Revised Statutes, by adding section 16-407.04; relating to the conduct of elections.","This bill amends Arizona state election law by adding a new section that asserts the state's sovereign authority to establish voter qualifications for federal elections using the same standards applied to state and local elections. Specifically, the bill declares that voter eligibility for federal offices will be determined by Arizona's existing state election statutes, which include requirements related to citizenship and residency. The bill cites both the U.S. Constitution (Article I, Section 2) and the Arizona Constitution (Article II, Section 3) as legal foundations for this assertion of state-level electoral control. By using the phrase ""sovereign authority,"" the bill appears to be challenging federal oversight of election rules and emphasizing the state's right to independently define voter qualifications, potentially creating a framework that could limit or modify existing federal voter eligibility standards.","Bill","Justice, Military Affairs and Security","Election Statutes, Federal Offices, Including Qualifications, Local Officers, Amended, Azhb, Conduct, Elections, Read, Relating","Governor Vetoed","04/15/2025","4","Lisa Fink (R)*, Rachel Keshel (R), Khyl Powell (R), Michael Way (R)","Vetoed","33","2","21","01/08/2025","02/25/2025","","Oppose"
"https://www.billtrack50.com/billdetail/1782489","AZ","HB2206","Multistate voter registration system; prohibition","AN ACT amending section 16-166, Arizona Revised Statutes; amending title 16, chapter 1, article 5, Arizona Revised Statutes, by adding sections 16-174, 16-175 and 16-176; relating to qualification and registration of electors.","This bill establishes new restrictions and procedures for voter registration list maintenance in Arizona, focusing on several key provisions. The bill prohibits Arizona from participating in multistate voter registration organizations that require sharing voter registration records, with an exception for specific governmental entities. It allows the Secretary of State to join voter registration information-sharing organizations, but only if the organization's membership is composed solely of state election officials and includes specific confidentiality protections. The bill requires county recorders to establish a uniform voter registration list maintenance program that complies with federal voting rights laws, including sending address confirmation notices to voters who have not recently voted or updated their registration. The legislation mandates that voter registrations cannot be canceled within 90 days of a federal election and requires county recorders to report list maintenance activities to the Secretary of State twice annually. Additionally, the bill introduces new procedures for handling voter registration when a voter is potentially ineligible, such as being deceased, a convicted felon, or not a U.S. citizen, which includes suspending the registration and notifying the voter to revise or clarify their information. The Secretary of State is also required to submit an annual report detailing the membership terms of any voter registration information-sharing organization and provide information on voter removals.","Bill","Justice, Military Affairs and Security","Nonoperating Identification License, Permanent Voter File, Nongovernmental Entity Agrees, Class Mail Marked, New Residence Ballot, Tribal Enrollment Number, Voting Rights Restored, Changing Voter Registration, Voter Registration System, Address Confirmation Requests","Transmitted to Governor","05/07/2025","2","James Taylor (R)*, Lisa Fink (R)","Passed","40","3","65","01/15/2025","04/17/2025","","Support"
"https://www.billtrack50.com/billdetail/1787258","AZ","HB2425","Voter registration information; registers; violations","AN ACT amending section 16-168, Arizona Revised Statutes; relating to qualification and registration of electors.","This bill modifies Arizona's voter registration information management procedures, focusing on how county recorders prepare and distribute precinct registers and voter information. The bill updates existing law to specify that electronic media will be the primary method for transmitting voter registration information, with provisions for party chairmen to request precinct lists that include detailed voter data such as full name, party preference, registration date, address, birth year, occupation, voting history, and early voting information. The bill clarifies the circumstances under which voter registration information can be accessed and used, restricting its use to political, campaign, and election-related purposes while establishing specific fees for obtaining voter records. It also reinforces the secretary of state's responsibility to maintain a statewide voter registration database that complies with federal voting laws like the National Voter Registration Act and Help America Vote Act, ensuring voter information is managed consistently across counties. Additionally, the bill makes minor language modifications, such as changing ""permit"" to ""allow"" and adjusting some grammatical structures, and removes a previous provision that made unauthorized use of voter registration information a class 6 felony.","Bill","Justice, Military Affairs and Security","Preclude Public Inspection, Driver License Number, Indian Census Number, Social Security Number, Recognized Political Parties, Original Registration Forms, Voter Registration Officials, News Gathering Purposes, Presidential Electors Appearing, Authorized Government Official","Senate read second time","03/31/2025","3","Alexander Kolodin (R)*, Laurin Hendrix (R), Rachel Keshel (R)","Crossed Over","18","2","48","01/16/2025","02/18/2025","","Support"
"https://www.billtrack50.com/billdetail/1788193","AZ","HB2587","Voter registration; requirements","AN ACT amending sections 16-101, 16-112, 16-121 and 16-121.01, Arizona Revised Statutes; repealing sections 16-123 and 16-127, Arizona Revised Statutes; amending section 16-134, Arizona Revised Statutes; repealing section 16-143, Arizona Revised Statutes; amending section 16-165, Arizona Revised Statutes; relating to qualification and registration of electors.","This bill modifies Arizona's voter registration laws by making several key changes to existing statutes. The bill removes previous requirements for voters to provide ""satisfactory evidence of citizenship"" when registering to vote, eliminates specific documentation requirements for voter registration forms, and simplifies the process of registering to vote. The bill maintains existing qualifications for voter registration, such as being a U.S. citizen, at least 18 years old, a state resident for 29 days, and not having been convicted of certain crimes. It also preserves provisions allowing people without a fixed residence (such as those experiencing homelessness) to register to vote using alternative addresses like shelters or county courthouses. The bill removes several previous verification and cancellation procedures related to citizenship status, streamlining the voter registration process while keeping core eligibility requirements intact. Additionally, the bill repeals specific sections of existing law related to voter registration documentation and repeals some existing statutes that are no longer applicable under the new framework.","Bill","Military Affairs and Security","Vital Events System, Nonoperating Identification License, Designate Additional Locations, Nonoperating Identification Licenses, Systematic Alien Verification, Social Security Number, Unique Identifying Number, Driver License Applications, Prevent Duplicate Registrations, Administer Voter Registration","House read second time","01/28/2025","12","Brian Garcia (D)*, Lorena Austin (D), Seth Blattman (D), Janeen Connolly (D), Oscar De Los Santos (D), Nancy Gutierrez (D), Sarah Liguori (D), Aaron Marquez (D), Mariana Sandoval (D), Stephanie Simacek (D), Myron Tsosie (D), Lauren Kuby (D)","Introduced","4","1","64","01/16/2025","01/16/2025","","Oppose"
"https://www.billtrack50.com/billdetail/1795965","AZ","HB2673","Early ballots; deadlines; foreign money","AN ACT amending title 16, chapter 4, article 1, Arizona Revised Statutes, by adding sections 16-407.04 and 16-407.05; Amending sections 16-411, 16-449, 16-542, 16-544, 16-547, 16-548, 16-550, 16-552, 16-579.01 and 16-579.02, Arizona Revised Statutes; AMENDING TITLE 16, CHAPTER 6, ARTICLE 1.2, ARIZONA REVISED STATUTES, BY ADDING SECTION 16-919; relating to elections.","This bill introduces several significant changes to Arizona's election laws, focusing on restricting foreign involvement in elections, modifying early voting procedures, and establishing new certification and reporting requirements. The bill prohibits government entities from using donations from foreign governments or foreign non-governmental sources for election administration, requiring vendors and service providers to submit sworn certifications that they are not receiving foreign funding. It imposes civil penalties for non-compliance and mandates quarterly reporting to the Secretary of State. The bill also makes substantial changes to early voting processes, including new rules for ballot submission and tracking, with phased implementation between 2026 and 2027. These changes include progressively more restrictive methods for returning early ballots, such as limiting drop-off locations and times. Additionally, the bill prohibits foreign contributions to ballot measure campaigns and requires campaign finance reports to include a certification that no foreign funds were used. The legislation aims to increase transparency, reduce potential foreign interference in elections, and modify early voting procedures, with specific definitions excluding federally recognized tribal nations from the foreign source restrictions.","Bill","Justice, Military Affairs and Security","Consumer Price Index, Seek Equitable Relief, Ballot Solely Due, Combining Polling Places, Special Taxing District, Consecutive Election Cycles, Optical Scan Ballots, Foreign Contributions Prohibited, Early Voting Begins, Ballot Drop Box","Senate read second time","03/31/2025","2","Alexander Kolodin (R)*, Steve Montenegro (R)","Crossed Over","20","2","98","01/21/2025","02/19/2025","","Support"
"https://www.billtrack50.com/billdetail/1778237","AZ","SB1064","Voting; equipment; internet; custody; violation","AN ACT amending section 16-442, Arizona Revised Statutes; amending title 16, chapter 4, article 9, Arizona Revised Statutes, by adding section 16-567; amending title 16, chapter 4, article 10, Arizona Revised Statutes, by adding section 16-605; relating to the conduct of elections.","This bill proposes several new security measures for voting equipment and election processes in Arizona. The bill requires the Secretary of State to ensure that voting machines meet specific cybersecurity standards, including configuring operating systems according to Department of Homeland Security best practices, prohibiting internet connectivity or remote access, implementing user tracking with unique credentials, and maintaining logs of ballot image deletions and system events. The bill also mandates strict custody and access controls for voting equipment at polling places, voting centers, and central counting centers. Specifically, any voting equipment with accessible ports must be sealed and logged in a chain of custody document, with detailed tracking of every person who handles the equipment. The bill requires that no voting equipment can have internet access, and only authorized personnel (including political party observers) may be present during vote tabulation. Additionally, for removable data storage devices, two observers from different political parties must be present during handling and transportation. Violations of these provisions would be considered a Class 1 misdemeanor. As an additional transparency measure, the bill requires that all activities at counting centers be continuously video recorded and posted on the county's website.","Bill","Justice, Military Affairs and Security","Agricultural Improvement District, Windows Event Logs, Central Counting Center, Homeland Security Cybersecurity, Infrastructure Security Agency, Governing Body Establishes, Official Election Record, Supports Internet Connectivity, Electronic Voting Systems, Counting Votes Cast","Transmitted to Governor","05/06/2025","4","Mark Finchem (R)*, Wendy Rogers (R), John Gillette (R), Teresa Martinez (R)","Passed","29","2","53","01/13/2025","02/25/2025","","Unsure"
