"Url","State","Bill ID","Name","Summary","AI Summary","Bill Type","Committee Category","Keywords","Last Action","Action Date","Sponsors","Sponsor List","Bill Progress","Actions","Versions","Tracked","Created","Last Amendment","Notes","Position"
"https://www.billtrack50.com/billdetail/1753576","AL","SB19","Contraception; guaranteeing access to in the state","Contraception; guaranteeing access to in the state","This bill establishes comprehensive protections for contraceptive access in Alabama by defining key terms and creating legal safeguards. The legislation defines contraception broadly as any action to prevent pregnancy, and includes a wide range of contraceptive methods approved by the U.S. Food and Drug Administration, such as oral contraceptives, IUDs, emergency contraceptives, condoms, and other medical devices or methods. The bill guarantees that individuals in Alabama have the right to obtain contraceptives and that healthcare providers have the right to dispense them, and it prohibits state departments, agencies, and political subdivisions from implementing any laws or policies that would restrict or impede access to contraception. The bill also provides legal mechanisms for enforcement, allowing the Attorney General or affected healthcare providers to file civil actions against entities that violate these provisions, with specific defenses available only if an entity can prove a restriction significantly advances safety or is applied equally to medically similar products. Healthcare providers can bring actions on their own behalf or on behalf of patients, and the bill includes a provision that such legal challenges must meet a ""clear and convincing evidence"" standard. The law is set to take effect on October 1, 2025, and aims to comprehensively protect contraceptive access in the state.","Bill","Justice","Medically Similar Drugs, Pharmacist Licensed Pursuant, Service Licensed Pursuant, Health Care Institution, Health Care Provider, Health Care Providers, Providing Health Care, Reproductive Health Service, Hormonal Contraceptive Implants, Policy Significantly Advances","Pending Senate Judiciary","02/04/2025","1","Merika Coleman (D)*","In Committee","3","1","20","11/20/2024","11/19/2024","",""
"https://www.billtrack50.com/billdetail/1753532","AR","HB1011","To Create The Restore Roe Act; And To Restore A Woman's Access To Abortion Services.","AN ACT TO CREATE THE RESTORE ROE ACT; TO RESTORE A WOMAN'S ACCESS TO ABORTION SERVICES; TO PROTECT THE HEALTH AND SAFETY OF WOMEN AND BABIES BY AUTHORIZING ABORTION AND REPRODUCTIVE HEALTH CARE IN CERTAIN CIRCUMSTANCES; AND FOR OTHER PURPOSES.","This bill aims to restore abortion access in Arkansas by repealing several existing laws that restrict abortion and replacing them with provisions that protect a woman's right to obtain abortion services up to the point of fetal viability, as established in the landmark 1973 Roe v. Wade Supreme Court decision. The bill, titled the ""Restore Roe Act,"" would essentially eliminate numerous existing state laws that severely limit or criminalize abortion, including the Arkansas Human Life Protection Act, the Arkansas Unborn Child Protection Act, and multiple other subchapters that imposed strict restrictions on abortion procedures. Key provisions include allowing abortions up to the point of fetal viability, with limited exceptions after viability for the health or life of the mother or in cases of rape or incest involving a minor. The bill removes criminal penalties for performing abortions, eliminates mandatory waiting periods and counseling requirements, repeals reporting requirements that could potentially identify patients, and removes restrictions on abortion methods and medication. By repealing these existing laws, the bill seeks to return Arkansas's abortion regulations to a framework similar to what existed before the overturning of Roe v. Wade, prioritizing women's reproductive autonomy and medical decision-making.","Bill","Health and Social Services","Specialty Nurses Focused, Uniform Resource Locator, Normal Cell Growth, Geographically Indexed Names, Achieve Administrative Convenience, Federally Funded Benefits, Advanced Medical Technology, Guardian Ad Litem, Unforeseen Complication Arises, Perinatal Palliative Care","Died in House Committee at Sine Die adjournment.","05/05/2025","1","Andrew Collins (D)*","Dead","59","1","265","11/20/2024","11/20/2024","",""
"https://www.billtrack50.com/billdetail/1847843","AR","HB1610","To Amend The Arkansas Human Life Protection Act And The Arkansas Unborn Child Protection Act.","AN ACT TO AMEND THE ARKANSAS HUMAN LIFE PROTECTION ACT AND THE ARKANSAS UNBORN CHILD PROTECTION ACT; TO MODIFY THE DEFINITION OF ""MEDICAL EMERGENCY""; AND FOR OTHER PURPOSES.","This bill amends the Arkansas Human Life Protection Act and the Arkansas Unborn Child Protection Act to provide more clarity around medical emergencies and abortion regulations. The legislation introduces a detailed definition of ""medical emergency"" that requires physicians to use ""reasonable medical judgment"" when determining if a pregnancy termination is necessary to preserve a woman's life. The bill specifically clarifies that a medical emergency does not include conditions where alternative treatments can sustain the woman's life without ending the pregnancy, psychological or emotional conditions, or speculative diagnoses about potential future harm. The bill also defines ""reasonable medical judgment"" as a medical decision that a prudent, qualified physician would make given the specific case and treatment possibilities. Additionally, the legislation changes language around physician protections, stating that it is ""not a violation"" (rather than an ""affirmative defense to prosecution"") if a licensed physician provides medical treatment to a pregnant woman that accidentally or unintentionally results in injury or death to an unborn child. The legislative findings emphasize the intent to provide guidance and ensure that physicians can appropriately treat medical emergencies while protecting both the mother's and unborn child's lives.","Bill","Health and Social Services","Major Bodily Function, Species Homo Sapiens, Irreversible Physical Impairment, Emergency Medical Procedures, Emergency Medical Situations, Reasonable Medical Judgement, Reasonable Medical Judgment, “Medical Emergency” Means, Medical Conditions Involved, Unintentional Physical Injury","Notification that HB1610 is now Act 387","03/20/2025","40","Robin Lundstrum (R)*, Jimmy Hickey (R)*, Brandon Achor (R), Mary Bentley (R), Alyssa Brown (R), Karilyn Brown (R), Matt Brown (R), Rebecca Burkes (R), Cindy Crawford (R), Bruce Cozart (R), Jimmy Gazaway (R), Zack Gramlich (R), Brad Hall (R), Lee Johnson (R), Jack Ladyman (R), Wayne Long (R), Julie Mayberry (R), John Maddox (R), Rick McClure (R), Richard McGrew (R), Jon Milligan (R), Chad Puryear (R), Marcus Richmond (R), Ryan Rose (R), Kendon Underwood (R), Johnny Rye (R), Randy Torres (R), Steve Unger (R), Carlton Wing (R), Jim Wooten (R), Stan Berry (R), Sonia Barker (R), Cameron Cooper (R), R.J. Hawk (R), Ron McNair (R), Dwight Tosh (R), Mike Holcomb (R), Missy Irvin (R), John Payton (R), Clint Penzo (R)","Signed/Enacted/Adopted","25","2","52","02/26/2025","03/20/2025","",""
"https://www.billtrack50.com/billdetail/1788515","AZ","HB2547","Abortions; public funding; prohibition","AN ACT amending section 35-196.05, Arizona Revised Statutes; relating to abortion.","This bill modifies Arizona's existing law regarding public funding for family planning services by prohibiting state or local governments from contracting with or providing grants to any entity that performs or promotes abortions. The bill changes the language around abortion-related restrictions, removing the term ""nonfederally qualified"" and expanding the prohibition to include facilities that promote abortions, not just perform them. The legislation maintains a priority order for distributing public funds for family planning services, starting with state-owned health facilities, then hospitals, federally qualified health centers, rural health clinics, and primary health service providers. The bill allows the attorney general or county attorney to take legal action to enforce these restrictions, and any entity potentially impacted by funding reductions can also bring a lawsuit. Entities found to be in violation could face legal consequences, including potential recoupment of funds and mandatory attorney fees. The bill also updates definitions related to public monies, hospitals, health centers, and rural health clinics, and removes a previous definition of ""nonfederally qualified abortion."" The goal appears to be further restricting public funding for entities associated with abortion services.","Bill","Government Affairs","Family Planning Services, Health Care Provider, Health Care Providers, Rural Health Clinic, Rural Health Clinics, Health Care Facilities, Nonfederally Qualified Abortion, Nonfederally Qualified Abortions, Primary Health Services, Receive Federal Funding","Senate GOV Committee action: Do Pass, voting: (4-3-0-0)","03/19/2025","2","Lupe Diaz (R)*, David Marshall (R)","Crossed Over","22","2","38","01/16/2025","03/06/2025","",""
"https://www.billtrack50.com/billdetail/1800442","AZ","HB2681","Abortion-inducing drugs; requirements","AN ACT Amending section 36-2160, Arizona Revised Statutes; relating to abortion.","This bill amends Arizona law to establish extensive requirements for physicians prescribing abortion-inducing drugs. The bill mandates that a qualified physician must physically examine the patient, verify the pregnancy, determine the patient's blood type, and offer Rh testing if applicable. The physician must also provide detailed information about potential physical and psychological side effects of the abortion-inducing drug, including the possibility of seeing fetal remains. The bill requires physicians to document the pregnancy's gestational age and location, and be credentialed to manage potential complications, including having a signed agreement with an associated physician who can handle emergencies. Physicians must schedule a follow-up appointment 7-14 days after the drug administration to confirm complete termination and assess bleeding. The bill prohibits providing abortion-inducing drugs via mail or courier and establishes civil liability provisions that allow women, minors' parents/guardians, and in some cases, the father of the unborn child to sue for damages if the law is violated. The bill includes specific exceptions for cases involving sexual assault, domestic violence, or terminated parental rights. The legislation also includes confidentiality provisions for legal proceedings and emphasizes that it does not create a right to abortion. The bill's stated purpose is to safeguard women's health by ensuring informed consent and medical oversight of medication abortions.","Bill","Justice","Clinically Accepted Protocol, Official Label Approved, Restrictive Alternative Exists, Domestic Violence Involving, Handle Complication Management, Including Emergency Transfers, Physical Injuries Resulting, Provide Chemical Abortions, Reasonable Attorney Fees, Unborn Child Aborted","Senate JUDE Committee action: Do Pass, voting: (4-3-0-0)","03/19/2025","18","Rachel Keshel (R)*, Leo Biasiucci (R), Walter Blackman (R), Joseph Chaplik (R), Lupe Diaz (R), Lisa Fink (R), John Gillette (R), Gail Griffin (R), Ralph Heap (R), Alexander Kolodin (R), Nickolas Kupper (R), David Marshall (R), Teresa Martinez (R), Justin Olson (R), Michele Peña (R), Beverly Pingerelli (R), Khyl Powell (R), Julie Willoughby (R)","Crossed Over","27","2","69","01/23/2025","02/26/2025","",""
"https://www.billtrack50.com/billdetail/1818354","AZ","HB2746","Abortion; providers; waiting period; ultrasound","AN ACT Amending sections 32-1606, 32-2501, 32-2531, 32-2532, 36-449.01, 36-449.03, 36-2151, 36-2152, 36-2153, 36-2155, 36-2156 and 36-2158, Arizona Revised Statutes; repealing section 36-2160, Arizona Revised Statutes; amending sections 36-2161, 36-2162.01, 36-2301 and 36-2301.01, Arizona Revised Statutes; repealing section 36-2301.02, Arizona Revised Statutes; relating to abortion.","This bill modifies multiple sections of Arizona state law related to abortion procedures, expanding the definition of health care providers who can perform abortions and making various changes to informed consent requirements, reporting procedures, and regulations for abortion clinics. Key provisions include broadening the definition of health care providers who can perform abortions to include nurse practitioners, certified nurse midwives, and physician assistants, in addition to physicians; removing previous restrictions on physician assistants performing abortions; updating reporting requirements for abortion procedures to include these additional types of health care providers; and modifying informed consent protocols. The bill also repeals some existing sections of law related to abortion and updates definitions throughout the existing statutes. These changes appear to standardize and potentially expand who can provide abortion services in Arizona while maintaining existing requirements for patient consent, medical reporting, and safety protocols. The bill does not fundamentally alter the core legal framework for abortion in the state but makes technical and procedural modifications to existing law.","Bill","","Direct Financial Interest, Good Faith Effort, Involving Moral Turpitude, Preprocedure Hand Washing, Previous Spontaneous Terminations, Sterilized Durable Equipment, Collecting Workforce Data, Heavy Metal Poisoning, Requesting Sexual Favors, Soliciting Sexual Relationships","","01/01/1900","25","Stephanie Stahl Hamilton (D)*, Anna Abeytia (D), Cesar Aguilar (D), Lorena Austin (D), Seth Blattman (D), Junelle Cavero (D), Janeen Connolly (D), Lupe Contreras (D), Patty Contreras (D), Quantá Crews (D), Oscar De Los Santos (D), Brian Garcia (D), Nancy Gutierrez (D), Alma Hernandez (D), Consuelo Hernandez (D), Sarah Liguori (D), Elda Luna-Najera (D), Aaron Marquez (D), Chris Mathis (D), Mae Peshlakai (D), Stephanie Simacek (D), Stacey Travers (D), Myron Tsosie (D), Betty Villegas (D), Kevin Volk (D)","Introduced","0","1","152","02/04/2025","02/04/2025","",""
"https://www.billtrack50.com/billdetail/1826897","AZ","HB2820","Contraception; cost sharing prohibition","AN ACT amending sections 20-826 and 20-1057.08, Arizona Revised Statutes; amending title 20, chapter 6, article 4, Arizona Revised Statutes, by adding section 20-1376.11; amending sections 20-1402 and 20-1404, Arizona Revised Statutes; relating to health insurance.","This bill amends several sections of Arizona's insurance law to prohibit cost-sharing for contraceptive services and medications across different types of insurance policies. Specifically, the bill requires that any insurance policy covering prescription drugs must provide coverage for FDA-approved contraceptive methods, including oral, implant, and injectable contraceptive drugs, intrauterine devices, and prescription barrier methods, without imposing any deductibles, copayments, coinsurance, or other cost-sharing measures. The bill also mandates that policies covering outpatient health services must provide outpatient contraceptive services, which include consultations, examinations, procedures, and medical services related to preventing unintended pregnancies. Additionally, the legislation removes previous provisions that allowed religiously affiliated employers to opt out of contraceptive coverage based on religious beliefs. The bill applies to various types of insurance policies, including subscription contracts, health care services organizations, disability insurance, and blanket disability insurance, with the exception of individual non-group policies. By eliminating cost-sharing for contraception, the bill aims to improve access to reproductive healthcare and reduce financial barriers to contraceptive services.","Bill","Budget and Finance, Health and Social Services","Elsevier Gold Standard, Hereditary Gene Mutations, Internal Revenue Code, Involve Amino Acid, Magnetic Resonance Imaging, Maximum Annual Benefit, Preventive Mammography Screening, Qualified Marketplace Platform, Prescription Barrier Methods, Clinical Pharmacology Compendium","House read second time","02/12/2025","1","Stephanie Stahl Hamilton (D)*","Introduced","5","1","119","02/10/2025","02/10/2025","",""
"https://www.billtrack50.com/billdetail/1809945","AZ","SB1398","Abortion; waiting period; authorized providers","AN ACT amending sections 32-1606, 32-2501, 32-2531, 32-2532, 36-449.01, 36-449.02, 36-449.03, 36-2151, 36-2152, 36-2153, 36-2155, 36-2156, 36-2158, 36-2161 and 36-2162.01, Arizona Revised Statutes; repealing section 36-3604, Arizona Revised Statutes; relating to abortion.","This bill makes several significant changes to Arizona's abortion regulations, primarily expanding the list of health care providers who can perform abortions to include not just physicians, but also nurse practitioners and physician assistants. Key provisions include removing previous restrictions that limited abortion performance to only physicians, modifying informed consent requirements, and updating various definitions and reporting requirements related to abortion procedures. The bill eliminates the previous 24-hour waiting period for abortions, broadens the definition of authorized health care providers, and updates language across multiple sections of Arizona state law to reflect these changes. The modifications aim to increase access to abortion services by allowing more types of licensed health care professionals to perform the procedure, while maintaining existing requirements for informed consent, ultrasound imaging, and medical screenings. The bill also updates reporting requirements for abortion clinics and health care providers, ensuring consistent documentation and tracking of abortion-related medical procedures.","Bill","Justice","Direct Financial Interest, Good Faith Effort, Involving Moral Turpitude, Municipal Fire Inspectors, Preprocedure Hand Washing, Previous Spontaneous Terminations, Fetal Heart Tone, Sterilized Durable Equipment, Collecting Workforce Data, Heavy Metal Poisoning","Senate read second time","02/04/2025","6","Eva Burch (D)*, Lela Alston (D), Mitzi Epstein (D), Brian Fernandez (D), Rosanna Gabaldón (D), Lauren Kuby (D)","Introduced","4","1","160","01/29/2025","01/29/2025","",""
"https://www.billtrack50.com/billdetail/1815369","AZ","SB1553","Abortion; repeals","An Act repealing sections 1-219, 13-3603.01, 13-3603.02 and 13-3605, Arizona Revised Statutes; amending sections 15-115.01, 32-1401, 32-1408, 32-1451.04, 32-1601, 32-1606, 32-1607, 32-1807, 32-1854, 32-1901, 32-2501, 32-2508, 32-2531, 32-2532, 32-3217, 36-301, 36-402, 36-404 and 36-427, Arizona Revised Statutes; repealing title 36, chapter 4, article 10, Arizona Revised Statutes; amending section 36-2151, Arizona Revised Statutes; repealing sections 36-2153, 36-2153.01, 36-2154, 36-2155, 36-2156, 36-2157, 36-2158, 36-2159 and 36-2160, Arizona Revised Statutes; repealing title 36, chapter 20, article 2, Arizona Revised Statutes; repealing title 36, chapter 23, articles 1 and 3, Arizona Revised Statutes; repealing section 36-3604, Arizona Revised Statutes; amending sections 41-1033, 41-1080.01 and 41-1093, Arizona Revised Statutes; relating to abortion.","This bill repeals multiple sections of Arizona law related to abortion, effectively removing existing legal provisions that govern abortion services and regulations. Specifically, the bill eliminates definitions, restrictions, and procedural requirements related to abortion, including repealing entire chapters and articles in the Arizona Revised Statutes that previously addressed abortion services. The bill makes numerous technical amendments to various sections of law across different titles, removing references to abortion and modifying definitions and professional conduct standards for healthcare professionals. Key changes include removing specific language about abortion from definitions in medical professional practice acts, eliminating sections that previously regulated abortion procedures, and striking provisions related to abortion clinics and medical services. The bill appears to be a comprehensive legislative effort to remove existing abortion-related legal frameworks from Arizona state law, potentially in response to recent changes in federal and state abortion regulations.","Bill","Justice","Automated Prescription-Dispensing Kiosk, Cut Umbilical Cord, Emits Ionizing Radiation, Heavy Metal Poisoning, Involving Moral Turpitude, Umbilical Cord Pulsation, Requesting Sexual Favors, Soliciting Sexual Relationships, American Medical Colleges, Canadian Medical Colleges","Senate read second time","02/11/2025","3","Analise Ortiz (D)*, Anna Abeytia (D), Sarah Liguori (D)","Introduced","4","1","265","02/03/2025","02/03/2025","",""
"https://www.billtrack50.com/billdetail/1754671","CA","AB40","Emergency services and care.","An act to amend Section 1317.1 of the Health and Safety Code, relating to health care, and declaring the urgency thereof, to take effect immediately.","This bill amends the existing definition of ""emergency services and care"" in California law to explicitly include reproductive health services, including abortion. By doing so, the bill aims to clarify that healthcare facilities must provide reproductive health services as part of their emergency medical care, in line with the state's constitutional right to reproductive freedom. The legislation expands the existing legal requirements for emergency medical screening, examination, and evaluation to ensure that reproductive health services are considered essential emergency care. Additionally, the bill includes provisions related to psychiatric emergency medical conditions and their treatment, and specifies that it is an urgency statute, meaning it will take effect immediately upon passage. The bill also includes a provision stating that no additional reimbursement is required for local agencies or school districts, as the changes primarily relate to defining medical services and potentially creating or modifying criminal penalties. The underlying intent is to protect individuals' access to reproductive healthcare services during emergency medical situations, ensuring that such services cannot be denied or interfered with by healthcare providers.","Bill","Budget and Finance, Health and Social Services","Including Severe Pain, Reasonable Medical Probability, Mental Health Disorder, Services Inventory Form, Reimburse Local Agencies, Medical Condition Manifesting, “Medical Hazard” Means, Managed Health Care, Emergency Medical Condition, Reproductive Health Services","Referred to Com. on HEALTH.","05/07/2025","1","Mia Bonta (D)*","Crossed Over","13","2","76","12/02/2024","03/05/2025","",""
