"Url","State","Bill ID","Name","Summary","AI Summary","Bill Type","Committee Category","Keywords","Last Action","Action Date","Sponsors","Sponsor List","Bill Progress","Actions","Versions","Tracked","Created","Last Amendment","Notes","Position"
"https://www.billtrack50.com/billdetail/1853337","AR","HB1668","To Create The Vulnerable Youth Protection Act; And To Authorize A Civil Action For Social Transitioning And Castration, Sterilization, Or Mutilation Of A Minor.","AN ACT TO CREATE THE VULNERABLE YOUTH PROTECTION ACT; TO AUTHORIZE A CIVIL ACTION FOR SOCIAL TRANSITIONING AND CASTRATION, STERILIZATION, OR MUTILATION OF A MINOR; AND FOR OTHER PURPOSES.","This bill creates the ""Vulnerable Youth Protection Act"" in Arkansas, which establishes strict legal provisions regarding medical treatments and social transitions for minors under 18 years old. The bill defines ""castration, sterilization, or mutilation"" as a broad range of medical procedures including surgeries like mastectomies, hysterectomies, and various gender-affirming treatments, as well as prescription drugs that could affect fertility or puberty. The legislation allows civil lawsuits against anyone who causes or contributes to social transitioning or these medical procedures for minors, with potential damages ranging from $10,000 to $10 million. Plaintiffs can sue up to 15 years after the incident and may recover nominal, compensatory, statutory, and punitive damages, plus attorney's fees. The bill explicitly prohibits state officials from directly enforcing the law and provides robust legal immunity for state actors challenging the law. Notably, the bill includes exceptions for medically necessary treatments for individuals with genetic disorders of sex development and allows continuation of treatments begun before June 1, 2025, under specific counseling conditions. The law is designed to be applied extraterritorially and includes a severability clause to ensure that if any part of the law is found invalid, the rest can remain in effect.","Bill","Justice","Adverse Consequence Hb, Exhaust Administrative Remedies, Maximum Extent Permitted, Mental Health Counseling, Nonmutual Issue Preclusion, Sexual Dysfunction Results, Delay Normal Puberty, Diseased Body Part, Minor Attended Twelve, Nonmutual Claim Preclusion","House Judiciary Committee (10:00:00 4/1/2025 Room 149)","04/01/2025","2","Mary Bentley (R)*, Alan Clark (R)*","In Committee","18","1","62","03/04/2025","03/04/2025","","support"
"https://www.billtrack50.com/billdetail/1879456","AR","HB1916","To Amend The Protecting Minors From Medical Malpractice Act Of 2023; And To Include Gender-affirming Interventions As A Right Of Action For Medical Malpractice.","AN ACT TO AMEND THE PROTECTING MINORS FROM MEDICAL MALPRACTICE ACT OF 2023; TO INCLUDE GENDER-AFFIRMING INTERVENTIONS AS A RIGHT OF ACTION FOR MEDICAL MALPRACTICE; AND FOR OTHER PURPOSES.","This bill amends the Protecting Minors From Medical Malpractice Act of 2023 to include gender-affirming interventions as a new category of potential medical malpractice. The bill defines ""gender-affirming intervention"" as medical treatments supporting a patient's identification with a gender different from their biological sex, specifically including puberty blockers and cross-sex hormone therapy. Under the bill, healthcare and mental health professionals who perform these interventions on minors can be held liable for any physical, psychological, emotional, or physiological injuries resulting from the treatment. Minors or their representatives can file civil actions up to 15 years after the minor turns 18, seeking declaratory relief, compensatory and punitive damages, and attorney's fees. The bill establishes a ""safe harbor"" defense that requires extensive documentation, including two years of consistent gender identification, multiple professional certifications, and detailed informed consent that includes a lengthy warning statement about potential risks and long-term consequences of such interventions. The consent process must include specific verbal and written notices detailing potential medical risks, potential regret, fertility implications, and the lack of long-term research on these treatments for minors.","Bill","Justice","Advised ‘Great Caution, Conducted Systematic Reviews, Diminished Bone Density, Proportionally Spaced Typeface, Severe Liver Dysfunction, Mental Health Concern, Cross-Sex Hormone Therapy, Mental Health Professional, Subsequent Medical Visit, Coronary Artery Disease","Notification that HB1916 is now Act 979","04/22/2025","2","Mary Bentley (R)*, Alan Clark (R)*","Signed/Enacted/Adopted","23","2","67","03/31/2025","04/22/2025","","support"
"https://www.billtrack50.com/billdetail/1786453","AZ","HB2359","Conversion therapy; funding; prohibitions; minors","AN ACT amending title 32, chapter 32, article 1, Arizona Revised Statutes, by adding section 32-3229.02; amending title 35, chapter 1, article 5, Arizona Revised Statutes, by adding section 35-196.06; relating to health care for minors.","This bill prohibits licensed health care professionals from providing conversion therapy (defined as any practice or treatment seeking to change a minor's sexual orientation or gender identity) to patients under 18 years old, with specific exceptions for religious counselors and parents/grandparents acting in a familial capacity. The bill clarifies that conversion therapy does not include neutral counseling, support for gender transition, personal identity exploration, or discussions of moral or religious beliefs. Additionally, the legislation bars state and local government agencies from spending state or federal funds to conduct, facilitate, reimburse, or contract for conversion therapy services for minors. The bill includes a severability clause, meaning that if any part of the law is found invalid, the remaining provisions can still be enforced. By restricting conversion therapy for minors, the bill aims to protect young people from potentially harmful therapeutic practices that seek to change their sexual orientation or gender identity.","Bill","Government Affairs, Health and Social Services","Reimbursing Conversion Therapy, Mental Health Therapy, Health Care Professional, Conducting Conversion Therapy, Minors Conversion Therapy, Provide Conversion Therapy, Conversion Therapy, Health Care, Eighteen Years, Unprofessional Conduct","House read second time","01/22/2025","14","Patty Contreras (D)*, Anna Abeytia (D), Cesar Aguilar (D), Lorena Austin (D), Lupe Contreras (D), Quantá Crews (D), Oscar De Los Santos (D), Brian Garcia (D), Nancy Gutierrez (D), Elda Luna-Nájera (D), Chris Mathis (D), Mariana Sandoval (D), Stephanie Stahl Hamilton (D), Analise Ortiz (D)","Introduced","5","1","44","01/16/2025","01/16/2025","","oppose"
"https://www.billtrack50.com/billdetail/1815165","AZ","SB1586","Gender transition procedures; provider liability","An Act amending title 12, chapter 5.1, article 1, Arizona Revised Statutes, by adding section 12-574; relating to health care actions.","This bill introduces new legal provisions regarding gender transition procedures for minors in Arizona, establishing strict liability for healthcare professionals who provide such treatments. Specifically, the bill mandates that any healthcare professional who performs a gender transition procedure on a minor is personally liable for all costs associated with future detransition procedures within 25 years of the initial treatment. The bill allows individuals who undergo a detransition procedure to file civil lawsuits against the original healthcare provider before turning 26, seeking compensation for detransition costs and other damages. Additionally, healthcare providers are strictly liable for any physical, psychological, emotional, or physiological harm resulting from gender transition treatments, and individuals can file lawsuits up to eight years after turning 18 or within four years of discovering an injury, whichever is later. The bill permits claims for various types of damages, including compensatory and punitive damages, and explicitly prohibits healthcare providers from obtaining contractual waivers of liability through legal agreements. These provisions aim to create significant legal accountability for healthcare professionals performing gender transition procedures on minors and provide extensive legal recourse for patients who experience negative outcomes.","Bill","Government Affairs","Health Care Professional, Gender Transition Procedure, Subsequent Detransition Procedure, Gender Transition Procedures, Gender Transition, Detransition Procedure, Detransition Procedures, Attorney Fees, Competent Jurisdiction, Physiological Harms","Transmitted to Governor","05/06/2025","11","Janae Shamp (R)*, Hildy Angius (R), Shawnna Bolick (R), Timothy Dunn (R), Mark Finchem (R), David Gowan (R), John Kavanagh (R), J.D. Mesnard (R), Kevin Payne (R), Warren Petersen (R), Wendy Rogers (R)","Passed","29","2","35","02/03/2025","03/03/2025","","support"
"https://www.billtrack50.com/billdetail/1815534","AZ","SB1687","Gender transition; public funds; prohibition","An Act amending section 32-3230, Arizona Revised Statutes; amending title 35, chapter 1, article 5, Arizona Revised Statutes, by adding section 35-196.06; relating to health care services.","This bill prohibits medical professionals from providing certain gender transition-related medical treatments to individuals under 18 years old, specifically banning irreversible gender reassignment surgeries and restricting the prescription of puberty-blocking drugs, synthetic hormones, and cross-sex hormones. The bill defines these treatments as interventions that alter an individual's appearance to no longer correspond with their biological sex, and it introduces significant legal and professional consequences for healthcare providers who violate these restrictions. Healthcare professionals who perform such treatments on minors would be subject to a class 1 misdemeanor charge and potential disciplinary action from their professional regulatory board. The bill also prohibits the use of public funds, state tax monies, and federal funds passing through state treasuries from being used to pay for gender transition treatments or related training, effectively creating a comprehensive ban on such medical interventions for minors. Additionally, the bill allows individuals to bring legal claims for violations, with specific provisions for minors to file suits even years after turning 18, and mandates that prevailing parties in such legal actions can recover attorney fees. The legislation is grounded in legislative findings that emphasize potential medical risks, lack of long-term clinical studies, and a belief in protecting children's health.","Bill","Health and Social Services","Prescribing Puberty-­Blocking Drugs, Compelling Government Interest, External Genitalia Present, Gonadotropin-Releasing Hormone Analogues, Major Bodily Function, Obtain Compensatory Damages, Scientific Studies Show, Severe Liver Dysfunction, Stop Luteinizing Hormone, Studies Consistently Demonstrate","Senate read second time","02/11/2025","1","Vince Leach (R)*","Introduced","4","1","85","02/03/2025","02/03/2025","","support"
"https://www.billtrack50.com/billdetail/1830578","CO","HB1253","Youth Health Protection Act","The bill prohibits an individual to perform or cause or assist in the performance of any medical procedure or medical treatment that furthers a minor's desire to present or appear in a manner that is inconsistent with the minor's sex. The bill prohibits an office, agency, political subdivision of this state, or organization with the authority to license or discipline members of a profession from imposing a penalty or taking adverse action against an individual who provides or receives counseling, advice, or guidance consistent with conscience or religious belief. The bill allows the parent, guardian, or legal custodian of a minor to withhold consent for treatment, activity, or mental health-care service that is designed and intended to form the parent's child's conceptions of sex and gender or to treat gender dysphoria or gender nonconformity. The bill prohibits a law enforcement officer acting pursuant to an investigation, an employee, an agent of this state, or a political subdivision from encouraging a minor to withhold information from the minor's parent or from withholding information regarding a minor's physical or mental health from the minor's parent. The bill prohibits a person from being discriminated or retaliated against by a person who provides information regarding an act or omission that violates the requirements described in the bill. The bill prohibits the state from using state funds for the performance of, or in furtherance of, any medical procedure or medical treatment that furthers a minor's desire to present or appear in a manner that is inconsistent with the minor's sex. The bill allows an individual harmed or aggrieved by a violation of the requirements described in the bill to file suit and recover certain damages and civil remedies.","This bill, known as the Youth Health Protection Act, establishes comprehensive restrictions on medical treatments and interventions for minors related to gender transition. The bill prohibits medical professionals from performing certain medical procedures on minors, including surgeries that sterilize or modify sexual characteristics, puberty-blocking medications, and hormone treatments that induce infertility. Medical professionals who engage in these practices could face professional disciplinary action and civil penalties. The bill includes exceptions for minors with verified genetic disorders of sexual development and for treatments already in progress before the act's effective date. It also establishes strong parental rights provisions, requiring that parents or guardians be immediately notified if a minor exhibits signs of gender dysphoria and empowering them to withhold consent for gender-related treatments. The legislation provides whistleblower protections for individuals who report potential violations, prohibits the use of state funds for gender transition procedures, and allows civil remedies for individuals harmed by prohibited practices. Additionally, the bill removes previous provisions related to gender-affirming care in juvenile facilities and creates legal mechanisms for individuals to seek damages or injunctive relief. The act aims to protect minors from what its proponents view as potentially harmful medical interventions related to gender identity.","Bill","Health and Social Services","Delay Normal Puberty, Endogenous Hormone Profiles, Local Governmental Entities, Attorney Fees Incurred, Commits Unprofessional Conduct, Conduct Alleged Occurred, Crisis Response Screening, Mobile Crisis Programs, Penalties Imposed Pursuant, Reasonable Attorney Fees","House Committee on Health & Human Services Postpone Indefinitely","03/11/2025","5","Brandi Bradley (R)*, Carlos Barron (R)*, Max Brooks (R)*, Ken Degraaf (R)*, Ron Weinberg (R)*","Dead","4","1","139","02/12/2025","02/12/2025","","support"
"https://www.billtrack50.com/billdetail/1830680","CO","HB1254","Limitation on Gender Transition Procedure Claims","The bill requires that causes of action for intentional or negligent acts constituting youth gender transition procedures performed on a youth under 26 years of age must be brought before the youth reaches 38 years of age.","This bill establishes new legal provisions regarding legal actions related to gender transition procedures performed on individuals under 26 years old. The bill defines ""sex"" as a biological state based on sex organs, chromosomes, and hormone profiles, and comprehensively defines ""youth gender transition procedures"" to include specific medical interventions such as hormone prescriptions, sterilization surgeries, genital reconstruction surgeries, and removal of healthy body parts. The bill allows individuals who have undergone such procedures to file legal claims for damages up until they reach 38 years of age, with specific provisions for actions against individual practitioners and entities that may have been responsible for the procedures. The legislation includes a severability clause, meaning that if any part of the law is found to be unconstitutional, the remaining provisions can still be enforced. The bill is set to take effect on September 1, 2025, and is subject to potential referendum, with a provision that it would require voter approval if challenged. Importantly, the bill explicitly does not prevent local jurisdictions from implementing additional regulations on youth gender transition procedures and includes exceptions for medical procedures related to verified disorders of sex development.","Bill","Justice","Endogenous Hormone Profiles, Artificially Constructs Tissue, Diseased Body Part, Medically Verifiable Disorder, Constitutionally Valid Applications, Injury Reaches Thirty, Intentional Conduct Brought, Valid Applications, Procedure Undertaken, Youth Reaches","House Committee on Judiciary Postpone Indefinitely","02/18/2025","3","Ken Degraaf (R)*, Brandi Bradley (R)*, Ron Weinberg (R)*","Dead","3","1","58","02/12/2025","02/12/2025","","support"
"https://www.billtrack50.com/billdetail/1784106","CT","HB05370","An Act Prohibiting Certain Treatment Practices And Promoting Psychotherapy For Minors Experiencing Gender Dysphoria Or Incongruence.","To ensure that the best interests of minors are protected when experiencing gender dysphoria or incongruence.","This bill seeks to restrict medical treatments for minors experiencing gender dysphoria or gender incongruence by prohibiting healthcare providers from performing certain medical interventions. Specifically, the bill would ban healthcare providers from prescribing puberty-blocking drugs or cross-sex hormones to minors for uses not approved by the FDA, including treatment related to gender dysphoria. Additionally, the bill would prohibit surgical procedures on minors intended for sex reassignment or treatment of gender dysphoria. Instead of these medical interventions, the bill promotes psychotherapy as an alternative approach for minors dealing with stress related to gender identity experiences. The underlying stated purpose is to protect the best interests of minors by limiting medical treatments that could have long-term consequences during a developmental period. The bill represents a legislative attempt to regulate medical care for transgender and gender-questioning youth by restricting access to certain gender-affirming medical treatments.","Bill","Health and Social Services","Prescribing Puberty-Blocking Drugs, Experiencing Gender Dysphoria, Gender Dysphoria, Fda Approved, General Statutes, Promote Psychotherapy, Promoting Psychotherapy, Sex Reassignment, Cthb, Incongruence","Referred to Joint Committee on Public Health","01/16/2025","10","Vincent Candelora (R)*, Tom O'Dea (R)*, Dave Rutigliano (R)*, Tim Ackert (R)*, Jason Perillo (R)*, Lezlye Zupkus (R)*, Tami Zawistowski (R)*, Mark Anderson (R), Rob Sampson (R), Anne Dauphinais (R)","In Committee","1","1","24","01/15/2025","01/15/2025","","support"
"https://www.billtrack50.com/billdetail/1795526","CT","HB06178","An Act Prohibiting State Agencies From Taking Certain Actions Against Parents And Guardians Who Choose To Raise Children Consistent With Their Biological Sex.","To prohibit state agencies from taking certain action against a parent or guardian if the basis for such action relates solely to such parent's or guardian's decision to raise a child consistent with such child's biological sex.","This bill aims to prevent state agencies, such as the Department of Children and Families, from taking certain actions against parents or guardians based solely on their decision to raise a child in a manner consistent with the child's biological sex. Specifically, the bill prohibits state agencies from investigating claims of child abuse or neglect, removing a child from their home, or denying or revoking foster or adoptive placements if the only reason for such actions is the parent's or guardian's choice to raise the child according to their biological sex. The legislation appears to be a response to concerns about potential state intervention in parental decisions regarding a child's gender identity or expression. By limiting the grounds for state agency action, the bill seeks to protect parents' rights to make child-rearing decisions without fear of losing custody or facing investigative measures based exclusively on this specific criterion.","Bill","Education","Raise Children Consistent, Manner Consistent, Adoptive Placement, Biological Sex, Child  Consistent, Child Consistent, General Statutes, Solely Related, Child Abuse, Prospective Guardian","Referred to Joint Committee on Children","01/22/2025","2","Anne Dauphinais (R)*, Mark Anderson (R)","In Committee","1","1","23","01/21/2025","01/21/2025","","unclear"
"https://www.billtrack50.com/billdetail/1801570","CT","HB06609","An Act Concerning Minors Experiencing Gender Dysphoria Or Incongruence.","To ensure that the best interests of minors are protected when experiencing gender dysphoria or incongruence.","This bill proposes several restrictions on medical treatments for minors experiencing gender dysphoria or gender incongruence. Specifically, the bill would prohibit healthcare providers from prescribing puberty blocking drugs or cross-sex hormones to individuals under 18 years old for uses not explicitly approved by the Federal Food and Drug Administration (FDA), which includes treatments related to gender dysphoria. Additionally, the bill would ban surgical interventions for minors intended to address gender dysphoria or perform sex reassignment procedures. Instead of these medical interventions, the bill promotes psychotherapy as an alternative approach for minors dealing with stress associated with gender dysphoria or incongruence. The stated purpose of the bill is to protect the best interests of minors by limiting medical treatments that could potentially have long-term consequences before they reach adulthood. The legislation represents a significant potential restriction on gender-affirming medical care for transgender and gender-questioning youth, focusing on preventing medical interventions until patients are 18 years old.","Bill","Health and Social Services","Artificial Cross-Sex Hormones, Puberty Blocking Drugs, Experiencing Gender Dysphoria, Gender Dysphoria, Drug Administration, Federal Food, General Statutes, Promote Psychotherapy, Sex Reassignment, Surgical Intervention","Referred to Joint Committee on Public Health","01/24/2025","1","Joseph Canino (R)*","In Committee","1","1","21","01/23/2025","01/23/2025","","support"
