"Url","State","Bill ID","Name","Summary","AI Summary","Bill Type","Committee Category","Keywords","Last Action","Action Date","Sponsors","Sponsor List","Bill Progress","Actions","Versions","Tracked","Created","Last Amendment","Notes","Position"
"https://www.billtrack50.com/billdetail/1869018","AR","HB1791","To Clarify That The World Health Organization And The United Nations Do Not Have Jurisdiction Or Power In This State And Do Not Have Authority To Enforce Or Implement Actions In This State.","AN ACT TO CLARIFY THAT THE WORLD HEALTH ORGANIZATION AND THE UNITED NATIONS DO NOT HAVE JURISDICTION OR POWER IN THIS STATE AND DO NOT HAVE AUTHORITY TO ENFORCE OR IMPLEMENT ACTIONS IN THIS STATE; AND FOR OTHER PURPOSES.","This bill adds a new section to Arkansas state law that explicitly states the World Health Organization (WHO) and the United Nations (UN) do not have jurisdiction or power within the state of Arkansas. The bill prohibits any requirements or mandates issued by these international organizations from being enforced or implemented by any state or local government entity, including state agencies, counties, cities, school districts, and other public bodies. Specifically, the bill prevents WHO or UN directives from being used as a basis for actions that would impose requirements such as mask mandates, vaccination protocols, or medical testing that conflict with Arkansas' state constitution and laws. Additionally, the bill prevents these international organizations from gathering public or private information about Arkansas citizens or residents. The legislation appears to be a preemptive measure to protect state sovereignty and limit the potential influence of international organizations in local governance and public health matters.","Bill","Health and Social Services","World Health Organization, Administrative Unit, Mandate Issued, Medical Testing, Private Information, Quasi-Public Entity, School District, School Hb, United Nations, Water District","Died in House Committee at Sine Die adjournment.","05/05/2025","8","Cameron Cooper (R)*, Clint Penzo (R)*, Mary Bentley (R), Alyssa Brown (R), Rebecca Burkes (R), Hope Duke (R), Wayne Long (R), Robin Lundstrum (R)","Dead","24","1","20","03/13/2025","03/13/2025","","support"
"https://www.billtrack50.com/billdetail/1804486","FL","H6011","International Health Organization Policies","An act relating to international health organization policies; amending s. 381.00322, F.S.; repealing a provision authorizing certain entities and institutions to adopt, implement, or enforce specified policies provided by rule or executive order of the Governor; providing an effective date.","This bill modifies Florida Statute 381.00322 to prohibit governmental entities and educational institutions from adopting, implementing, or enforcing international health organization policies or guidelines unless specifically authorized by state law. The bill removes previous language that allowed such policies to be implemented through rules or executive orders issued by the Governor. By eliminating the reference to executive orders and gubernatorial rules, the bill appears to create a more restrictive framework for how international health organization policies can be adopted in Florida, requiring explicit statutory authorization. This change would require state legislators to provide specific legal permission before any governmental entity or educational institution could implement policies recommended by international health organizations like the World Health Organization (WHO). The bill is set to take effect on July 1, 2025, giving state agencies and institutions time to adjust to the new requirements.","Bill","Health and Social Services","International Health Organization, Executive Order Issued, Public Health Policies, Executive Order, Educational Institution, Governmental Entity, Policies Provided, Provision Authorizing, Entities & Institutions, Policies","Indefinitely postponed and withdrawn from consideration","05/03/2025","4","Ryan Chamberlin (R)*, Monique Miller (R)*, Kim Kendall (R), Susan Plasencia (R)","In Committee","7","1","12","01/24/2025","01/24/2025","","support"
"https://www.billtrack50.com/billdetail/1850558","FL","H6035","International Health Organization Policies","An act relating to international health organization policies; amending s. 381.00322, F.S.; prohibiting governmental entities and educational institutions from adopting, implementing, or enforcing international health organizations' public health policies or guidelines without exception; providing an effective date.","This bill amends Florida Statutes to completely prohibit governmental entities and educational institutions from adopting, implementing, or enforcing public health policies or guidelines from international health organizations, without any exceptions or potential authorization. The bill removes previous language that allowed such policies to be adopted if authorized under state law, rule, or executive order issued by the Governor. By eliminating any potential pathways for implementing international health organization guidelines, the legislation appears to be aimed at preventing local and state government bodies and educational institutions from following health recommendations from global entities like the World Health Organization (WHO). The bill is set to take effect on July 1, 2025, giving state and local entities advance notice of this new restriction on adopting international health policies.","Bill","Health and Social Services","Executive Order Issued, International Health Organization, Public Health Policies, Prohibiting Governmental Entities, Governmental Entity, Educational Institution, Educational Institutions, Adopting, Flh, Implementing","Indefinitely postponed and withdrawn from consideration","05/03/2025","2","Danny Nix (R)*, Kim Kendall (R)","In Committee","7","1","11","02/28/2025","02/28/2025","","support"
"https://www.billtrack50.com/billdetail/1804903","FL","S0340","International Health Organization Policies","An act relating to international health organization policies; amending s. 381.00322, F.S.; prohibiting governmental entities and educational institutions from adopting, implementing, or enforcing international health organizations’ public health policies or guidelines without exception; providing an effective date.","This bill amends Florida Statutes to completely prohibit governmental entities and educational institutions from adopting, implementing, or enforcing public health policies or guidelines from international health organizations (such as the World Health Organization) under any circumstances. The bill removes previous language that allowed such policies to be adopted if authorized by state law, rule, or executive order from the Governor. By eliminating any exceptions, the legislation creates a blanket ban on following international health organization guidelines, regardless of their origin or potential merit. This means that state and local government agencies, as well as educational institutions in Florida, would be legally prevented from implementing health policies recommended by international bodies, potentially limiting their ability to respond to global health emergencies or adopt widely recognized public health best practices. The bill is set to take effect on July 1, 2025, giving institutions time to adjust to the new restriction.","Bill","","Executive Order Issued, International Health Organization, Public Health Policies, Prohibiting Governmental Entities, Governmental Entity, Educational Institution, Educational Institutions, Adopting, Fls, Implementing","Indefinitely postponed and withdrawn from consideration","05/03/2025","1","Joe Gruters (R)*","In Committee","4","1","12","01/27/2025","01/27/2025","",""
"https://www.billtrack50.com/billdetail/1842424","GA","HB570","Local government; acknowledge that certain international organizations have no jurisdiction in this state","AN ACT To amend Titles 36 and 50 of the Official Code of Georgia Annotated, relating to local government and state government, respectively, so as to acknowledge that certain international organizations have no jurisdiction in this state; to prohibit the implementation or enforcement of any rule, regulation, fee, tax, policy, or mandate of certain international organizations; to provide for related matters; to provide for an effective date; to repeal conflicting laws; and for other purposes.","This bill seeks to explicitly prohibit the World Health Organization (WHO) and the United Nations (UN) from having any jurisdiction or implementing any rules, regulations, fees, taxes, policies, or mandates within the state of Georgia. The legislation adds new sections to both the local government and state government codes, effectively blocking any potential enforcement of WHO or UN directives at the state, county, municipal, or local authority levels. By adding these provisions to Titles 36 and 50 of the Official Code of Georgia Annotated, the bill aims to establish a clear legal barrier against what its proponents likely view as potential overreach by international organizations. The bill would become effective upon the Governor's approval or by becoming law without such approval, and it includes a clause that repeals any existing laws that might conflict with its provisions. This legislation appears to be a preemptive measure to assert state sovereignty and limit the influence of international organizations within Georgia's governmental structures.","Bill","Agriculture and Natural Resources","World Health Organization, Consolidated Government, Governmental Entities, International Organizations, Local Board, Local Government, Municipal Corporations, Official Code, Related Matters, United Nations","House Natural Resources And Environment Subcommittee On Resource Management (upon Adjournment) (15:30:00 3/3/2025 415 CLOB)","03/03/2025","5","John Corbett (R)*, James Burchett (R)*, Jason Ridley (R)*, Trey Rhodes (R)*, Chas Cannon (R)*","Introduced","5","1","34","02/21/2025","02/22/2025","",""
"https://www.billtrack50.com/billdetail/1791256","ID","S1010","Adds to existing law to limit the jurisdiction of the World Health Organization in Idaho.","RELATING TO HEALTH; AMENDING TITLE 39, IDAHO CODE, BY THE ADDITION OF A NEW CHAPTER 73, TITLE 39, IDAHO CODE, TO PROVIDE THAT THE WORLD HEALTH OR- GANIZATION SHALL HAVE NO JURISDICTION IN THE STATE OF IDAHO; AND DECLAR- ING AN EMERGENCY AND PROVIDING AN EFFECTIVE DATE.","This bill aims to limit the jurisdiction of the World Health Organization (WHO) in Idaho by adding a new chapter to Title 39 of the Idaho Code. Specifically, the bill declares that the WHO, which is a specialized agency of the United Nations governed by the World Health Assembly, shall have no jurisdiction or control over any aspect of Idaho's government, including its health-related agencies, departments, or functions. The legislation explicitly states that Idaho citizens will not be subject to any WHO terms, conditions, rules, regulations, or initiatives, even if they were previously agreed upon by the federal government. The bill includes an emergency clause, making it effective from July 1, 2025, which suggests the legislators view this as an urgent matter of state sovereignty and public health policy. By passing this law, Idaho would be asserting its right to make independent public health decisions without potential interference or guidance from the international health organization.","Bill","Government Affairs, Justice","Emergency Existing Therefor, Specialized Agency Governed, World Health Assembly, World Health Organization, Health -- Adds, World Health, Public  Health, Chap- Ter, Declar- Ing, Function  Organized","Reported Printed; referred to State Affairs","01/20/2025","0","","In Committee","2","1","20","01/17/2025","01/17/2025","",""
"https://www.billtrack50.com/billdetail/1809155","ID","S1038","Adds to existing law to provide that the state of Idaho shall not be compelled to engage in the enforcement of requirements or mandates issued by the World Health Organization.","RELATING TO HEALTH; AMENDING TITLE 39, IDAHO CODE, BY THE ADDITION OF A NEW CHAPTER 73, TITLE 39, IDAHO CODE, TO PROVIDE THAT THE STATE OF IDAHO SHALL NOT","This bill adds a new chapter to Idaho state law that prohibits the state and its political subdivisions (such as counties, cities, schools, and water districts) from being compelled to enforce or collaborate with any requirements or mandates issued by the World Health Organization (WHO). Specifically, the bill stipulates that WHO mandates cannot be used as a basis for imposing any requirements in Idaho, including those related to masks, vaccines, medical testing, or gathering information about citizens. The legislation explicitly states that such WHO mandates shall have no legal force or effect within the state of Idaho, ensuring that state and local entities cannot be required to implement WHO guidelines that might conflict with state laws or constitution. The bill is set to go into full effect on July 1, 2025, and includes an emergency clause, which suggests the legislators view the matter as urgent and important for protecting state autonomy in health-related decision-making.","Bill","Government Affairs, Justice","Medi- Cal Testing, World Health Organization, Emergency Existing Therefor, Health -- Adds, Chap- Ter, Mandates Issued, Private Information, Quasi-Public Entities, School Districts, Water Districts","Session Law Chapter 81 Effective: 07/01/2025","03/14/2025","2","State Affairs Committee, Dan Foreman (R), Heather Scott (R)","Signed/Enacted/Adopted","38","1","32","01/29/2025","01/29/2025","",""
"https://www.billtrack50.com/billdetail/1814545","KS","HB2204","Declaring that the world health organization, the united nations and the world economic forum have no power within the state of Kansas or any political subdivisions thereof to enforce any rule, regulation, fee, tax, policy or mandate.","AN ACT concerning certain international organizations; declaring such organizations have no power to enforce any policy or regulation within the state of Kansas or it's political subdivisions thereof.","This bill aims to prevent the World Health Organization (WHO), United Nations (UN), and World Economic Forum (WEF) from exercising any authority within the state of Kansas. Specifically, the legislation declares that these international organizations shall have no jurisdiction or power to enforce any rules, regulations, fees, taxes, policies, or mandates in Kansas. The bill prohibits state agencies, departments, boards, commissions, municipalities, and other political subdivisions from implementing or enforcing any directives from these organizations. By introducing this legislation, Kansas seeks to assert its state sovereignty and limit the potential influence of international bodies on local governance and policy-making. The bill would take effect immediately upon publication in the state's statute book, signaling a clear stance against what some legislators may perceive as undue external influence on state-level decision-making.","Bill","Government Affairs","World Economic Forum, World Health Organization, Statute Book, United  Nations, United Nations, International Organizations, Organizations, Declaring, Kshb, Power","House Committee Report recommending bill be passed by Committee on Federal and State Affairs","03/18/2025","1","Rebecca Schmoe (R)*","In Committee","5","1","28","02/03/2025","02/03/2025","",""
"https://www.billtrack50.com/billdetail/1767583","KY","HB84","AN ACT relating to public health.","Create a new section of KRS Chapter 211 to provide that the Cabinet for Health and Family Services shall not promulgate any administrative regulation that implements or enforces any directives from the World Health Organization; amend KRS 211.990 to establish that any violation shall be a Class D felony.","This bill prohibits the Kentucky Cabinet for Health and Family Services from creating any administrative regulations that implement or enforce directives from the World Health Organization (WHO), and establishes significant legal consequences for violations. Specifically, the bill creates a new section in Kentucky Revised Statutes (KRS) Chapter 211 that explicitly bars the state health agency from adopting any regulations based on WHO directives. Additionally, the bill amends the existing penalties statute (KRS 211.990) to specify that any violation of this new prohibition would be classified as a Class D felony, which in Kentucky typically carries a potential prison sentence of 1-5 years. The bill appears to be aimed at preventing state health authorities from adopting international health guidelines or recommendations, potentially limiting the state's ability to implement WHO-suggested public health measures. By creating criminal penalties for such regulatory actions, the bill represents a significant legal constraint on state health policy-making authority with potential implications for public health responses and international health cooperation.","Bill","Justice","Perform Lead-Hazard Detection, Performing Lead-Hazard Detection, Regulations Adopted Pursuant, Regulations Adopted Thereunder, Lead-Hazard Abatement Services, Regulation Adopted Hereunder, Performs Lead-Hazard Detection, World Health Organization, Administrative Regulation, Family Services","to Judiciary (H)","02/04/2025","3","T.J. Roberts (R)*, Josh Calloway (R), John Hodgson (R)","In Committee","3","1","40","01/07/2025","01/08/2025","",""
"https://www.billtrack50.com/billdetail/1795254","MS","HB1314","State of Mississippi; not required to recognize any mandates, orders or laws by certain entities.","An Act To Provide That The State Of Mississippi Shall Not Be Required To Comply With Or Recognize Any Mandates, Orders, Laws, Decrees, Or Directives Handed Down By Any Entity That Is Not A State Or Federally Elected Official Or Body Or A United States Citizen Appointed By A State Or Federally Elected Official Or Body, With Limited Exceptions; And For Related Purposes.","This bill proposes that the State of Mississippi will not be required to comply with or recognize mandates, orders, laws, decrees, or directives from any organization, commission, or entity that is not a state or federally elected official, body, or a U.S. citizen appointed by such an official or body. The bill specifically lists international organizations in various domains, such as health, security, military, financial, and monetary, as examples of entities whose mandates would not be automatically recognized. The key provision is that any mandate from such external entities would first need to be voted on and passed as legislation by the Mississippi Legislature before the state would recognize or implement it. This means that international organizations like the World Health Organization (WHO), NATO, or international financial institutions would not have direct authority to impose rules or directives on Mississippi without going through the state's legislative process. The bill is set to take effect on July 1, 2025, providing a timeline for its implementation and giving state officials time to prepare for its enforcement.","Bill","Government Affairs","Federally Elected Official, International Financial Organizations, International Military Organizations, International Monetary Organizations, International Security Organizations, International Health, Medical Organizations, Directives Handed, Limited Exceptions, Related Purposes","Died In Committee","02/04/2025","2","Dan Eubanks (R)*, Charles Blackwell (R)*","Dead","2","1","6","01/21/2025","01/21/2025","",""
